iter	Passed	Remaining
0	48	48421
1	50	25391
2	89	29849
3	92	22974
4	93	18654
5	95	157566	148	21097	120	14981
8	8	164	18159	201	19925
10	203	18283
11	205	16881
1212	246	186713	247	17437
1414	274	18015
15	276	169916	281	16262
1717	329	17951818	336	17381919	338	16572020	431	20132
21	493	21953
22	525	22333
23	537	21850
24	538	21013
25	561	21049
26	576	20791
27	685	23795
28	696	23334
29	745	24111
30	747	23358
31	748	22656
32	751	22029
33	767	21794
34	769	21225
35	787	21081
36	791	20610
37	795	20140
38	865	21319
39	871	20912
40	872	20410
41	928	21176
42	942	20974
43	943	20507
44	945	200645	992	20589
46	994	20159
47	1077	21360
48	1091	21184
49	1109	21088
50	1111	2068151	1190	21702
52	1191	21297
53	1193	20907
54	1194	20529
55	1221	20591
56	1227	20313
57	1236	20086
58	1247	19897
59	1260	19746
60	1267	19515
61	1269	19204
62	1321	19648
63	1331	19471
64	1371	19725
65	1373	19437
66	1375	19161
67	1417	19423
68	1422	19193
69	1424	18926
70	1453	19014
71	1455	18757
72	1458	18519
73	1461	18294
74	1503	18542
75	1505	18303
76	1507	18075
77	1549	18317
78	1552	18094
79	1553	17867
80	1555	17643
81	1556	17425
82	1557	17212
83	1574	17165
884	1561	16804885	1562	1660986	1579	16576
887	1664	17248
88	1665	17052
89	1758	17780
90	1760	17582
91	1761	17386
92	1762	17193
93	1816	17505
94	1817	17318
95	1819	17132
96	1823	16978
97	1827	16824
98	1829	16653
99	1831	16482
100	1832	16314
101	1834	16149
102	1835	15987
103	1860	16028
104	1883	16056
105	1891	15956
106	1893	15801
107	1894	15648
108	1896	15499
109	1945	15740
110	1947	15598
111	1948	15452
112	1950	15307
113	1978	15376
114	1980	15240
115	1981	15103
116	1985	14982
117	1990	14880
118	1993	14761
119	1999	14664
120	2003	14557121	2057	14810
122	2062	14705
123	2067	14605
124	2079	14554
125	2129	14769
126	2130	14646
127	2132	14525
128	2163	14609
129	2167	14503
130	2168	14385
131	2171	14276
132	2204	14372
133	2206	14261
134	2209	14156
135	2210	14045
136	2212	13937
137	2214	13830
138	2215	13723
139	2250	13821
140	2254	13733
141	2258	13645
1142	2278	136571143	2296	13649144	2349	13851
145	2380	13922
146	2382	13824
147	2385	13731
148	2406	13744
149	2408	13648
1150	2459	13831
151	2462	13736
152	2507	13882
153	2509	13787154	2526	13771
155	2564	13875
156	2576	13834
157	2578	13739
158	2663	14087
159	2737	14370
160	2738	14271
161	2841	14699
162	2846	14617
163	2851	14534
164	2884	14596
165	2931	14728
166	2963	14779
167	2964	14682
168	2966	14587
169	2969	14499
170	2976	14429
171	3002	14455
172	3007	14376
173	3010	14289
174	3011	14198
175	3013	14107
176	3014	14016
177	3029	13991
178	3070	14085
179	3074	14008
180	3076	13922
181	3095	13911
182	3096	13825
183	3098	13739
184	3099	13655
185	3101	13571
186	3102	13488
187	3103	13406
188	3146	13501
189	3211	13691
190	3221	13646
191	3226	13580
192	3230	13507
193	3256	13529
194	3258	13452
195	3289	13494
196	3291	13418
197	3293	13341
198	3295	13265
199	3341	13364
200	3343	13289
201	3344	13212
202	3371	13235
203	3372	13161
204	3374	13085
205	3409	13142
206	3411	13070
207	3415	13004
208	3418	12937
209	3453	12990
210	3455	12919
211	3456	12848
212	3461	12788
213	3465	12727
214	3468	12662
215	3470	12597
216	3474	12537
217	3500	12555
218	3501	12488
219	3504	12425
220	3510	12372
221	3516	12323
222	3522	12273
223	3525	12214
224	3530	12159
225	3553	12169
226	3555	12108
227	3557	12045
228	3558	11981
229	3583	11997
230	3585	11936
231	3587	11874
232	3606	11870
233	3607	11809
234	3609	11748
235	3610	11687
236	3612	11631
237	3619	11588
238	3636	11580
239	3645	11544
240	3686	11609
241	3688	11554
242	3707	11548
243	3708	11490
244	3710	11435
245	3746	11484
246	3748	11426
247	3749	11369
248	3791	11436
249	3802	11408
250	3813	11378
251	3814	11323
252	3816	11267
253	3817	11211
254	3818	11156
255	3820	11102
256	3904	11288
257	3909	11244
258	3912	11193
259	3914	11141
260	3915	11087
261	3935	11085
262	3937	11032
263	3939	10982
264	3953	10966
265	3956	10916
266	3958	10866
267	3959	10815
268	3978	10811
269	3980	10761
270	3982	10711
271	3983	10661
272	3985	10612
273	3988	10567
274	3990	10521
275	4009	10518
276	4011	10471
277	4013	10423
278	4018	10386
279	4023	10345
280	4026	10301
281	4029	1282	4282	4030	10212
283	4037	10178
284	4051	10163
285	4058	10131
286	4059	10085
287	4061	10040
288	4062	289	4289	4064	290	4070	9917
291	4094	9928
292	4098	9889
293	4100	9847
294	4294	4146	9909
295	4148	9866
296	4150	9823
297	4172	9828
298	4173	9785
299	4175	9742
300	4192	9736
301	4195	9696
302	4197	9656
303	4199	9614
304	4225	9628
305	4227	9586
306	4228	9545
307	4230	9505
308	4241	9485
309	4257	9476
310	4264	9448
311	4269	9414
312	4287	9410
313	4303	9401
314	4340	9439
315	4342	9400
316	4344	9360
317	4348	9325
318	4353	9293
319	4357	9259
320	4362	9227
321	4375	9213
322	4376	9173
323	4378	9136
324	4412	9163
325	4413	9124
326	4414	9086
327	4495	9210
328	4497	9172
329	4500	9136
330	4501	9098
331	4527	9110
332	4529	9072
333	4530	9033
334	4531	8996
335	4533	8958
336	4535	337	4559	8931
338	4338	4557	339	4339	4650	9028
340	4661	9009
341	4663	8972
342	4664	8935
343	4666	8898
344	4765	9047
345	4768	9013
346	4769	8976
347	4771	8939
348	4775	8908
349	4797	8910
350	4799	8874
351	4801	8838
352	4802	8802
353	4840	8834
354	4845	8803
355	4846	8767
356	4848	8732
357	4888	8766
358	4890	8731
359	4891	8695
360	4892	8660
361	4919	8670
362	4922	8637
363	4925	8605
364	4928	8573
365	4954	8581
366	4956	8548
367	4957	8514
368	4977	8511
369	4978	8476
370	4980	8444
371	5002	8444
372	5017	8433
373	5018	8399
374	5019	8366
375	5040	8365
376	5042	8333
377	5044	8300
378	5060	379	5162	8423
380	5164	8390
381	5174	8371
382	5175	8338
383	5177	8305
384	5178	8272
385	5196	8266
386	5197	8233
387	5199	8200
388	5200	8168
389	5201	8136
390	5203	8104
391	5217	8092
392	5392	5242	8096
393	5243	8065
394	5245	8033
395	5245	8001
396	5259	397	5310	8032
398	5318	8010
399	5320	7980
400	5400	5360	401	5364	7980
402	5366	7949
403	5368	7920
404	5373	7894
405	5398	7898
406	5399	7867
407	5407	5478	7949
408	5481	7920
409	5483	410	5501	7884
411	5411	5514	7870
412	5516	7841
413	5546	7851
414	5584	7872
415	5586	7841
416	5588	7812
417	5615	7819
418	5617	7789
419	5620	7761
420	5625	421	5421	5665	7759
422	5666	7730
423	5668	7701
424	5670	7672
425	5691	7668
426	5694	7641
427	5722	7647
428	5728	7624
429	5729	7595
430	5731	7566
431	5732	7537
432	5809	7606
433	5810	7578
434	5812	7549
435	5824	7534
436	5826	7506
437	5828	7478
438	5832	7453
439	5851	7446
440	5853	7419
441	5854	7391
442	5857	7364
443	5858	7336
444	5862	7312
445	5865	7285
446	5868	7259
447	5871	7234
448	5905	7246
449	5907	7220
450	5909	7193
451	5914	7171
452	5940	7173
453	5944	7148
454	5946	7122
455	5951	7099
456	5962	7084
457	5964	7058
458	5966	7032
459	5970	7008
460	5971	6982
461	6015	7004
462	6031	6995
463	6052	6991
464	6054	6966
465	6080	6967
466	6099	6961
467	6101	6935
468	6102	6909
469	6103	6882
470	6154	6912
471	6180	6914
472	6215	6924
473	6221	6903
474	6222	6877
475	6224	6851
476	6257	6861
477	6333	6916
478	6337	6893
479	6362	6893
480	6364	6867
481	6367	6842
482	6389	6839
483	6391	6814
484	6394	6790
485	6396	6765
486	6398	6740
487	6400	6715
488	6401	6689
489	6403	6664
490	6480	6718
491	6482	6693
492	6484	6668
493	6511	6669
494	6513	6645
495	6515	6620
496	6523	6602
497	6525	6578
498	6528	6554
499	6554	6554
500	6557	6531
501	6564	6512
502	6579	6501
503	6581	6477
504	6612	6482
505	6661	6503
506	6665	6481
507	6666	6456
508	6668	6432
509	6669	6408
510	6670	6383
511	6672	6359
512	6772	6429
513	6774	6405
514	6777	6383
515	6784	6363
516	6785	6339
517	6787	6315
518	6794	6297
519	6795	6273
520	6797	6249
521	6798	6225
522	6800	6202
523	6843	6216
524	6847	6195
525	6851	6174
526	6884	6178
527	6912	6179
528	6914	6156
529	6915	6132
530	6939	6128
531	6941	6106
532	6960	6098
533	6962	6075
534	7010	6093
535	7034	6089
536	7049	6078
537	7051	6055
538	7052	6032
539	7118	6063
540	7119	6040
541	7123	6019
542	7125	5996
543	7126	5973
544	7128	5951
545	7129	5928
546	7131	5905
547	7193	5933
548	7195	5910
549	7197	5888
550	7266	5921
551	7275	5904
552	7282	5886
553	7284	5864
554	7286	5842
555	7288	5820
556	7303	5808
557	7306	5787
558	7311	5768
559	7329	5758
560	7330	5736
561	7352	5730
562	7379	5727
563	7380	5705
564	7397	5695
565	7410	5682
566	7412	5660
567	7415	5639
568	7429	5627
569	7444	5616
570	7458	5603
571	7462	5583
572	7467	5564
573	7468	5542
574	7470	5521
575	7471	5499
576	7549	5534
577	7552	5513
578	7560	5497
579	7594	5499
580	7609	5487
581	7611	5466
582	7612	5445
583	7614	5424
584	7637	5417
585	7638	5396
586	7754	5456
587	7758	5436
588	7823	5459
589	7825	5438
590	7827	5416
591	7847	5408
592	7849	5387
593	7852	5367
594	7858	5348
595	7861	5329
596	7867	5310
597	7901	5311
598	7931	5309
599	7933	5288
600	7934	5267
601	7936	5246
602	7994	5263
603	7996	5242
604	7999	5222
605	8035	5224
606	8037	5204
607	8064	5199
608	8096	5197
609	8098	5177
610	8101	5157
611	8103	612	8170	5158
613	8182	5143
614	8183	5123
615	8188	5104
616	8616	8202	617	8257	5104
618	8261	5084
619	8305	5090
620	8307	5070
621	8309	5049
622	8332	5042
623	8333	5021
624	8335	5001
625	8365	4998
626	8367	4977
627	8368	4957
628	8391	4949
629	8392	4929
630	8630	8429	4929
631	8434	632	8632	8436	633	8440	4872
634	8441	4852
635	8635	8602	4923
636	8610	4906
637	8611	4886
638	8623	4872
639	8632	4855
640	8633	4835
641	8634	4815
642	8636	4794
643	8637	4774
644	8654	4763
645	8707	4771
646	8709	4751
647	8711	4732
648	8713	4712
649	8714	4692
650	8716	4672
651	8717	4652
652	8788	4670
653	8790	4650
654	8792	4631
655	8793	4611
656	8801	4595
657	8841	4595
658	8853	4581
659	8932	4601
660	8934	4581
661	8935	4562
662	8956	4552
663	8958	4533
664	8959	4513
665	8961	4494
666	8980	4483
667	8982	4464
668	8984	4445
669	8987	4426
670	8994	4410
671	8996	4391
672	9000	4373
673	9004	4355
674	9018	4342
675	9020	4323
676	9023	4305
677	9038	4292
678	9041	4274
679	9042	4255
680	9053	4240
681	9066	4227
682	9096	4221
683	9098	4203
684	9100	4184
685	9102	4166
686	9106	4149
687	9109	4131
688	9111	4112
689	9113	4094
690	9153	4093
691	9155	4074
692	9157	4056
693	9159	4038
694	9191	4033
695	9192	4015
696	9194	3996
697	9214	3986
698	9216	3968
699	9218	3950
700	9222	3933
701	9226	3916
702	9228	3898
703	9230	3880
704	9244	3868
705	9246	3850
706	9248	3832
707	9264	3820
708	9266	3803
709	9271	3787
710	9273	3769
711	9279	3753
712	9308	3747
713	9314	3730
714	9337	3721
715	9339	3704
716	9372	3699
717	9375	3682
718	9377	3664
719	9379	3647
720	9401	3638
721	9403	3620
722	9407	3604
723	9408	3586
724	9415	3571
725	9434	3560
726	9436	3543
727	9438	3526
728	9439	3509
729	9444	3493
730	9457	3480
731	9459	3463
732	9461	3446
733	9462	3429
734	9468	3413
735	9481	3400
736	9482	3383
737	9484	3367
738	9503	3356
739	9506	3340
740	9509	3323
741	9511	3307
742	9542	3300
743	9554	3287
744	9562	3273
745	9578	3261
746	9599	3251
747	9604	3235
748	9605	3219
749	9607	3202
750	9608	3185
751	9714	3203
752	9717	3187
753	9720	3171
754	9801	3180
755	9845	3177
756	9847	3160
757	9944	3174
758	9947	3158
759	9955	3143
760	9957	3127
761	9959	3110
762	9960	3093
763	9983	3083
764	9989	3068
765	9991	3052
766	9992	3035
767	10006	3022
768	10008	3006
769	10009	2989
770	10032	2979
771	10034	2963
772	10035	2947
773	10058	2936
774	10059	2920
775	10061	2904
776	10064	2888
777	10094	2880
778	10095	2864
779	10097	2847
780	10098	2831
781	10102	2816
782	10121	2805
783	10123	2789
784	10125	2773
785	10127	2757
786	10132	2742
787	10134	2726
788	10135	2790	10167	2686
791	10173	2671
792	791	10198	2678
792	10208	2794	10236	2639
795	10239	2624
796	10241	2608
797	10273	2600
798	10275	2584
799	10277	2569
800	10302	2559
801	10303	2543
802	10305	2528
803	802	10324	2804	10362	2510
805	10364	2494
806	10366	2479
807	10367	2463
808	10372	2448
809	10376	2433
810	10380	2419
811	10410	2410
812	10412	2394
813	812	10465	2407
813	10487	2396
814	10497	2382
815	10499	2367
816	10505	2353
817	10526	2341
818	10530	2327
819	10554	2316
820	10556	2301
821	10558	2286
822	10560	2271
823	10569	2257
824	10571	2242
825	10576	2227
826	10588	2215
827	10594	2200
828	10596	2185
829	10603	2171
830	10627	2161
831	10630	2146
832	10632	2131
833	10633	2835	834	10660	2836	10668	2077
837	10673	2063
838	10685	2050
839	10692	2036
840	10699	2022
841	10704	2008
842	10812	2013
843	10814	1998
844	10816	1984
845	10817	1969
846	10904	1969
847	10906	1954
848	10907	1940
849	10930	1928
850	10932	1914
851	10934	1899
852	10952	1887
853	10954	1872
854	10956	1858
855	10974	1846
856	10976	1831
857	10980	1817
858	10995	1804
859	10998	1790
860	11027	1780
861	11050	1769
862	11051	1754
863	11053	1739
864	11054	1725
865	11055	1710
866	11057	1696
867	11058	1681
868	11059	1667
869	11061	1652
870	11062	1638
871	11064	1624
872	11065	1609
873	11067	1595
874	11068	1581
875	11070	1566
876	11071	1552
877	11072	1538
878	11074	1524
879	11076	1510
880	11077	1496
881	11078	1482
882	11080	1468
883	11082	1454
884	11083	1440
885	11084	1426
886	11086	1412
887	11087	1398
888	11088	1384
889	11090	1370
890	11124	1360
891	11126	1347
892	11179	1339
893	11184	1326
894	11186	1312
895	11189	1298
896	11209	1287
897	11211	1273
898	11213	1259
899	11215	1246
900	11216	1232
901	11218	1218
902	11221	1205
903	11223	1191
904	11225	1178
905	11227	1164
906	11229	1151
907	11254	1140
908	11256	1126
909	11257	1113
910	11261	1100
911	11279	1088
912	11282	1075
913	11283	1061
914	11303	1050
915	11305	1036
916	11307	1023
917	11320	1011
918	11322	997
919	11323	984
920	11327	971
921	11344	959
922	11346	946
923	11348	933
924	11360	921
925	11362	908
926	11364	894
927	11388	883
928	11403	871
929	11405	858
930	11408	845
931	11410	832
932	11433	821
933	11436	808
934	11439	795
935	11452	783
936	11455	770
937	11457	757
938	11459	744
939	11461	731
940	11465	718
941	11482	706
942	11486	694
943	11500	682
944	11502	669
945	11505	656
946	11507	644
947	11509	631
948	11516	618
949	11518	606
950	11520	593
951	11523	581
952	11525	568
953	11527	555
954	11529	543
955	11533	530
956	11535	518
957	11537	505
958	11539	493
959	11541	480
960	11543	468
961	11545	456
962	11547	443
963	11549	431
964	11551	418
965	11553	406
966	11555	394
967	11557	382
968	11558	369
969	11560	357
970	11562	345
971	11563	333
972	11565	320
973	11567	308
974	11569	296
975	11570	284
976	11572	272
977	11574	260
978	11575	248
979	11578	236
980	11579	224
981	11581	212
982	11583	200
983	11585	188
984	11587	176
985	11589	164
986	11590	152
987	11592	140
988	11593	128
989	11595	117
990	11597	105
991	11599	93
992	11600	81
993	11602	70
994	11604	58
995	11605	46
996	11607	34
997	11609	23
998	11610	11
999	11612	0
591	11
999	11593	0
